unix,datetime,speed,location
1741530000,2025-03-09 14:20:00,27.8,Sunshine Coast Airport
1741530600,2025-03-09 14:30:00,25.9,Sunshine Coast Airport
1741531200,2025-03-09 14:40:00,33.3,Sunshine Coast Airport
1741531800,2025-03-09 14:50:00,35.2,Sunshine Coast Airport
1741532400,2025-03-09 15:00:00,35.2,Sunshine Coast Airport
1741533000,2025-03-09 15:10:00,35.2,Sunshine Coast Airport
1741533600,2025-03-09 15:20:00,37.0,Sunshine Coast Airport
1741534200,2025-03-09 15:30:00,38.9,Sunshine Coast Airport
1741534800,2025-03-09 15:40:00,37.0,Sunshine Coast Airport
1741535400,2025-03-09 15:50:00,37.0,Sunshine Coast Airport
1741536000,2025-03-09 16:00:00,37.0,Sunshine Coast Airport
1741536600,2025-03-09 16:10:00,46.3,Sunshine Coast Airport
1741537200,2025-03-09 16:20:00,37.0,Sunshine Coast Airport
1741537800,2025-03-09 16:30:00,40.8,Sunshine Coast Airport
1741538400,2025-03-09 16:40:00,48.2,Sunshine Coast Airport
1741539000,2025-03-09 16:50:00,40.8,Sunshine Coast Airport
1741539600,2025-03-09 17:00:00,42.6,Sunshine Coast Airport
1741540200,2025-03-09 17:10:00,42.6,Sunshine Coast Airport
1741540800,2025-03-09 17:20:00,44.5,Sunshine Coast Airport
1741541400,2025-03-09 17:30:00,44.5,Sunshine Coast Airport
1741542000,2025-03-09 17:40:00,46.3,Sunshine Coast Airport
1741542600,2025-03-09 17:50:00,44.5,Sunshine Coast Airport
1741543200,2025-03-09 18:00:00,42.6,Sunshine Coast Airport
1741543800,2025-03-09 18:10:00,40.8,Sunshine Coast Airport
1741544400,2025-03-09 18:20:00,44.5,Sunshine Coast Airport
1741545000,2025-03-09 18:30:00,42.6,Sunshine Coast Airport
1741545600,2025-03-09 18:40:00,42.6,Sunshine Coast Airport
1741546200,2025-03-09 18:50:00,42.6,Sunshine Coast Airport
1741546800,2025-03-09 19:00:00,46.3,Sunshine Coast Airport
1741547400,2025-03-09 19:10:00,42.6,Sunshine Coast Airport
1741548000,2025-03-09 19:20:00,48.2,Sunshine Coast Airport
1741548600,2025-03-09 19:30:00,44.5,Sunshine Coast Airport
1741549200,2025-03-09 19:40:00,40.8,Sunshine Coast Airport
1741549800,2025-03-09 19:50:00,40.8,Sunshine Coast Airport
1741550400,2025-03-09 20:00:00,46.3,Sunshine Coast Airport
1741551000,2025-03-09 20:10:00,46.3,Sunshine Coast Airport
1741551600,2025-03-09 20:20:00,42.6,Sunshine Coast Airport
1741552200,2025-03-09 20:30:00,40.8,Sunshine Coast Airport
1741552800,2025-03-09 20:40:00,40.8,Sunshine Coast Airport
1741553400,2025-03-09 20:50:00,40.8,Sunshine Coast Airport
1741554000,2025-03-09 21:00:00,37.0,Sunshine Coast Airport
1741554600,2025-03-09 21:10:00,40.8,Sunshine Coast Airport
1741555200,2025-03-09 21:20:00,37.0,Sunshine Coast Airport
1741555800,2025-03-09 21:30:00,35.2,Sunshine Coast Airport
1741556400,2025-03-09 21:40:00,37.0,Sunshine Coast Airport
1741557000,2025-03-09 21:50:00,37.0,Sunshine Coast Airport
1741557600,2025-03-09 22:00:00,33.3,Sunshine Coast Airport
1741558200,2025-03-09 22:10:00,44.5,Sunshine Coast Airport
1741558800,2025-03-09 22:20:00,38.9,Sunshine Coast Airport
1741559400,2025-03-09 22:30:00,37.0,Sunshine Coast Airport
1741560000,2025-03-09 22:40:00,33.3,Sunshine Coast Airport
1741560600,2025-03-09 22:50:00,29.6,Sunshine Coast Airport
1741561200,2025-03-09 23:00:00,33.3,Sunshine Coast Airport
